,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,smoothing_end_date,closed,week_programm_demand,year_programm_demand,year_week_programm_demand,year_week_end_date
46,56362,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3869829,IS0028165M,107B-800VU-COA-40,YP04,1,2021-12-24,2022-01-07,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702018,2022-01-11,20.71,4.0,prod,0.0,2,2022-01-07,,,,True,1,2022,2022-W1,2022-W1
47,56363,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,3882967,IS0014648M,177A-915LR,YP04,1,2022-01-17,2022-01-21,None,,,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702016,2022-01-21,123.493315543289,18.0,prod,0.0,3,2022-01-21,,,,True,3,2022,2022-W3,2022-W3
48,56364,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3869822,IS0015730M,107B-DE-820-40,YP04,1,2022-01-13,2022-01-28,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702019,2022-01-28,765.12,22.0,prod,0.0,1,2022-01-28,,,,True,4,2022,2022-W4,2022-W4
49,56365,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3879386,IS0028165M,107B-800VU-COA-40,YP04,1,2022-01-13,2022-01-28,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702019,2022-01-28,20.71,4.0,prod,0.0,2,2022-01-28,,,,True,4,2022,2022-W4,2022-W4
50,56366,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3883786,IS0015730M,107B-DE-820-40,YP04,1,2022-01-26,2022-02-09,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702020,2022-02-09,765.12,22.0,prod,0.0,1,2022-02-09,,,,True,6,2022,2022-W6,2022-W6
51,56367,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3892575,IS0028165M,107B-800VU-COA-40,YP04,1,2022-01-26,2022-02-09,None,,,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702020,2022-02-09,20.71,4.0,prod,0.0,2,2022-02-09,,,,True,6,2022,2022-W6,2022-W6
52,56368,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,3888657,IS0014648M,177A-915LR,YP04,1,2022-02-11,2022-02-11,None,,,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702017,2022-02-14,123.493315543289,18.0,prod,0.0,3,2022-02-11,,,,True,6,2022,2022-W6,2022-W6
53,56369,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,6001371,IS0014648M,177A-915LR,YP04,1,2022-02-25,2022-02-25,None,,,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702018,2022-02-28,123.493315543289,18.0,prod,0.0,3,2022-02-25,,,,True,8,2022,2022-W8,2022-W8
54,56370,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3896140,IS0015730M,107B-DE-820-40,YP04,1,2022-02-11,2022-02-25,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702021,2022-02-25,765.12,22.0,prod,0.0,1,2022-02-25,,,,True,8,2022,2022-W8,2022-W8
55,56371,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3902345,IS0028165M,107B-800VU-COA-40,YP04,1,2022-02-08,2022-02-25,None,,,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702021,2022-02-25,20.71,4.0,prod,0.0,2,2022-02-25,,,,True,8,2022,2022-W8,2022-W8
56,56372,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3900151,IS0015667M,107A-DE-820-40,YP04,1,2022-03-03,2022-03-09,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702022,2022-03-09,765.12,22.0,prod,1.0,1,2022-03-09,,,,True,10,2022,2022-W10,2022-W10
57,56373,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,6008316,IS0028108M,107A-800VU-COA-40,YP04,1,2022-03-04,2022-03-09,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702022,2022-03-10,20.71,4.0,prod,0.0,2,2022-03-09,,,,True,10,2022,2022-W10,2022-W10
