,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
44,1048187,2023-01-11 10:38:00.530794,2023-01-11 10:38:00.530794,Marwa,Marwa,False,,2023-01-11 10:38:00.530794,2023-01-11 10:38:00.530794,Marwa,15,105,2023-03-06,1,10.72,4469,officiel,25,4,143
45,1048188,2023-01-11 10:38:00.540763,2023-01-11 10:38:00.540763,Marwa,Marwa,False,,2023-01-11 10:38:00.540763,2023-01-11 10:38:00.540763,Marwa,15,105,2023-03-07,1,10.72,4470,officiel,25,4,143
46,1048189,2023-01-11 10:38:00.550580,2023-01-11 10:38:00.550580,Marwa,Marwa,False,,2023-01-11 10:38:00.550580,2023-01-11 10:38:00.550580,Marwa,15,105,2023-03-08,1,10.72,4471,officiel,25,4,143
47,1048190,2023-01-11 10:38:00.555949,2023-01-11 10:38:00.555949,Marwa,Marwa,False,,2023-01-11 10:38:00.555949,2023-01-11 10:38:00.555949,Marwa,15,105,2023-03-09,1,10.72,4472,officiel,25,4,143
48,1048191,2023-01-11 10:38:00.570721,2023-01-11 10:38:00.570721,Marwa,Marwa,False,,2023-01-11 10:38:00.570721,2023-01-11 10:38:00.570721,Marwa,15,105,2023-03-10,1,10.72,4473,officiel,25,4,143
49,1048192,2023-01-11 10:38:00.570721,2023-01-11 10:38:00.570721,Marwa,Marwa,False,,2023-01-11 10:38:00.570721,2023-01-11 10:38:00.570721,Marwa,15,105,2023-03-13,1,10.72,4474,officiel,25,4,143
50,1048193,2023-01-11 10:38:00.580693,2023-01-11 10:38:00.580693,Marwa,Marwa,False,,2023-01-11 10:38:00.580693,2023-01-11 10:38:00.580693,Marwa,15,105,2023-03-14,1,10.72,4475,officiel,25,4,143
51,1048194,2023-01-11 10:38:00.590589,2023-01-11 10:38:00.590589,Marwa,Marwa,False,,2023-01-11 10:38:00.590589,2023-01-11 10:38:00.590589,Marwa,15,105,2023-01-31,1,10.72,4448,officiel,25,4,143
52,1048195,2023-01-11 10:38:00.600663,2023-01-11 10:38:00.600663,Marwa,Marwa,False,,2023-01-11 10:38:00.600663,2023-01-11 10:38:00.600663,Marwa,15,105,2023-03-15,1,10.72,4476,officiel,25,4,143
53,1048196,2023-01-11 10:38:00.610512,2023-01-11 10:38:00.610512,Marwa,Marwa,False,,2023-01-11 10:38:00.610512,2023-01-11 10:38:00.610512,Marwa,15,105,2023-03-16,1,10.72,4477,officiel,25,4,143
54,1048197,2023-01-11 10:38:00.620948,2023-01-11 10:38:00.620948,Marwa,Marwa,False,,2023-01-11 10:38:00.620948,2023-01-11 10:38:00.620948,Marwa,15,105,2023-03-17,1,10.72,4478,officiel,25,4,143
55,1048198,2023-01-11 10:38:00.630543,2023-01-11 10:38:00.630543,Marwa,Marwa,False,,2023-01-11 10:38:00.630543,2023-01-11 10:38:00.630543,Marwa,15,105,2023-03-21,1,10.72,4479,officiel,25,4,143
56,1048199,2023-01-11 10:38:00.640589,2023-01-11 10:38:00.640589,Marwa,Marwa,False,,2023-01-11 10:38:00.640589,2023-01-11 10:38:00.640589,Marwa,15,105,2023-03-22,1,10.72,4480,officiel,25,4,143
57,1048200,2023-01-11 10:38:00.650938,2023-01-11 10:38:00.650938,Marwa,Marwa,False,,2023-01-11 10:38:00.650938,2023-01-11 10:38:00.650938,Marwa,15,105,2023-03-23,1,10.72,4481,officiel,25,4,143
58,1048201,2023-01-11 10:38:00.660698,2023-01-11 10:38:00.660698,Marwa,Marwa,False,,2023-01-11 10:38:00.660698,2023-01-11 10:38:00.660698,Marwa,15,105,2023-03-24,1,10.72,4482,officiel,25,4,143
59,1048202,2023-01-11 10:38:00.670844,2023-01-11 10:38:00.670844,Marwa,Marwa,False,,2023-01-11 10:38:00.670844,2023-01-11 10:38:00.670844,Marwa,15,105,2023-03-27,1,10.72,4483,officiel,25,4,143
60,1048203,2023-01-11 10:38:00.680630,2023-01-11 10:38:00.680630,Marwa,Marwa,False,,2023-01-11 10:38:00.680630,2023-01-11 10:38:00.680630,Marwa,15,105,2023-03-28,1,10.72,4484,officiel,25,4,143
61,1048204,2023-01-11 10:38:00.690927,2023-01-11 10:38:00.690927,Marwa,Marwa,False,,2023-01-11 10:38:00.690927,2023-01-11 10:38:00.690927,Marwa,15,105,2023-03-29,1,10.72,4485,officiel,25,4,143
62,1048205,2023-01-11 10:38:00.700736,2023-01-11 10:38:00.700736,Marwa,Marwa,False,,2023-01-11 10:38:00.700736,2023-01-11 10:38:00.700736,Marwa,15,105,2023-03-30,1,10.72,4486,officiel,25,4,143
