,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
30,,2110,107,982024908,IS0015730M,107B-DE-820-40,KD,1,05/09/2023,21/09/2023,None,,nan,None,A210702067,,765.12,22.0,prod,0.0,1,2023-09-21,,,False,not_freezed,21101071NaT,
31,,2110,107,982115213,IS0015667M,107A-DE-820-40,KD,1,08/09/2023,26/09/2023,None,,nan,None,A110702068,,765.12,22.0,prod,1.0,1,2023-09-26,,,False,not_freezed,21101071NaT,
32,,2110,107,982358127,IS0015730M,107B-DE-820-40,KD,1,11/09/2023,28/09/2023,None,,nan,None,A210702068,,765.12,22.0,prod,0.0,1,2023-09-28,,,False,not_freezed,21101071NaT,
33,,2110,107,982152119,IS0015730M,107B-DE-820-40,KD,1,19/09/2023,06/10/2023,None,,nan,None,A210702069,,765.12,22.0,prod,0.0,1,2023-10-06,,,False,not_freezed,21101071NaT,
34,,2110,107,982170597,IS0015730M,107B-DE-820-40,KD,1,28/09/2023,16/10/2023,None,,nan,None,A210702070,,765.12,22.0,prod,0.0,1,2023-10-16,,,False,not_freezed,21101071NaT,
35,,2110,107,982358128,IS0015730M,107B-DE-820-40,KD,1,11/10/2023,27/10/2023,None,,nan,None,A210702071,,765.12,22.0,prod,0.0,1,2023-10-27,,,False,not_freezed,21101071NaT,
36,,2110,107,982402564,IS0015667M,107A-DE-820-40,KD,1,19/10/2023,06/11/2023,None,,nan,None,A110702072,,765.12,22.0,prod,1.0,1,2023-11-06,,,False,not_freezed,21101071NaT,
37,,2110,107,982407318,IS0015730M,107B-DE-820-40,KD,1,30/10/2023,15/11/2023,None,,nan,None,A210702073,,765.12,22.0,prod,0.0,1,2023-11-15,,,False,not_freezed,21101071NaT,
38,,2110,107,982420403,IS0015730M,107B-DE-820-40,KD,1,07/11/2023,23/11/2023,None,,nan,None,A210702074,,765.12,22.0,prod,0.0,1,2023-11-23,,,False,not_freezed,21101071NaT,
39,,2110,107,982471534,IS0015730M,107B-DE-820-40,KD,1,15/11/2023,01/12/2023,None,,nan,None,A210702075,,765.12,22.0,prod,0.0,1,2023-12-01,,,False,not_freezed,21101071NaT,
40,,2110,107,6123521,IS0028108M,107A-800VU-COA-40,YP04,1,05/09/2022,12/09/2022,None,07/09/2022,10.0,LANC ARTM IMPR CCRP ERCT MMEf RIMP,A110702036,,20.71,4.0,prod,0.0,2,2022-09-07,2022-09-12 06:00:00,,False,Freezed,211010722022-09-12 06:00:00,2022-09-12 06:00:00
41,,2110,107,981235919,IS0028165M,107B-800VU-COA-40,KD,1,20/09/2022,27/09/2022,X,20/09/2022,10.0,None,A210702037,,20.71,4.0,prod,0.0,2,2022-09-20,,,False,not_freezed,21101072NaT,
42,,2110,107,981235920,IS0028165M,107B-800VU-COA-40,KD,1,30/09/2022,07/10/2022,X,13/10/2022,15.0,None,A210702038,,20.71,4.0,prod,0.0,2,2022-10-13,,,False,not_freezed,21101072NaT,
43,,2110,107,981235921,IS0028165M,107B-800VU-COA-40,KD,1,12/10/2022,19/10/2022,X,25/10/2022,15.0,None,A210702039,,20.71,4.0,prod,0.0,2,2022-10-25,,,False,not_freezed,21101072NaT,
44,,2110,107,981235922,IS0028165M,107B-800VU-COA-40,KD,1,24/10/2022,31/10/2022,X,07/11/2022,15.0,None,A210702040,,20.71,4.0,prod,0.0,2,2022-11-07,,,False,not_freezed,21101072NaT,
45,,2110,107,981235923,IS0028165M,107B-800VU-COA-40,KD,1,03/11/2022,10/11/2022,X,17/11/2022,15.0,None,A210702042,,20.71,4.0,prod,0.0,2,2022-11-17,,,False,not_freezed,21101072NaT,
46,,2110,107,981235953,IS0028108M,107A-800VU-COA-40,KD,1,15/11/2022,22/11/2022,X,28/11/2022,15.0,None,A110702043,,20.71,4.0,prod,0.0,2,2022-11-28,,,False,not_freezed,21101072NaT,
47,,2110,107,980941516,IS0028165M,107B-800VU-COA-40,KD,1,25/11/2022,02/12/2022,X,07/12/2022,15.0,None,A210702044,,20.71,4.0,prod,0.0,2,2022-12-07,,,False,not_freezed,21101072NaT,
48,,2110,107,981136487,IS0028165M,107B-800VU-COA-40,KD,1,07/12/2022,14/12/2022,X,20/12/2022,15.0,None,A210702045,,20.71,4.0,prod,0.0,2,2022-12-20,,,False,not_freezed,21101072NaT,
49,,2110,107,980941517,IS0028165M,107B-800VU-COA-40,KD,1,19/12/2022,02/01/2023,X,05/01/2023,15.0,None,A210702046,,20.71,4.0,prod,0.0,2,2023-01-05,,,False,not_freezed,21101072NaT,
50,,2110,107,980842110,IS0028165M,107B-800VU-COA-40,KD,1,05/01/2023,12/01/2023,X,18/01/2023,15.0,None,A210702047,,20.71,4.0,prod,0.0,2,2023-01-18,,,False,not_freezed,21101072NaT,
51,,2110,107,980842111,IS0028165M,107B-800VU-COA-40,KD,1,17/01/2023,24/01/2023,X,27/01/2023,15.0,None,A210702048,,20.71,4.0,prod,0.0,2,2023-01-27,,,False,not_freezed,21101072NaT,
52,,2110,107,980842112,IS0028165M,107B-800VU-COA-40,KD,1,27/01/2023,03/02/2023,X,07/02/2023,15.0,None,A210702049,,20.71,4.0,prod,0.0,2,2023-02-07,,,False,not_freezed,21101072NaT,
53,,2110,107,980842113,IS0028165M,107B-800VU-COA-40,KD,1,08/02/2023,15/02/2023,X,16/02/2023,15.0,None,A210702050,,20.71,4.0,prod,0.0,2,2023-02-16,,,False,not_freezed,21101072NaT,
54,,2110,107,980842114,IS0028165M,107B-800VU-COA-40,KD,1,20/02/2023,27/02/2023,X,28/02/2023,15.0,None,A210702051,,20.71,4.0,prod,0.0,2,2023-02-28,,,False,not_freezed,21101072NaT,
55,,2110,107,980842115,IS0028165M,107B-800VU-COA-40,KD,1,02/03/2023,09/03/2023,X,13/03/2023,15.0,None,A210702052,,20.71,4.0,prod,0.0,2,2023-03-13,,,False,not_freezed,21101072NaT,
56,,2110,107,980842116,IS0028165M,107B-800VU-COA-40,KD,1,14/03/2023,22/03/2023,X,24/03/2023,15.0,None,A210702053,,20.71,4.0,prod,0.0,2,2023-03-24,,,False,not_freezed,21101072NaT,
57,,2110,107,980842117,IS0028165M,107B-800VU-COA-40,KD,1,27/03/2023,03/04/2023,X,,nan,None,A210702054,,20.71,4.0,prod,0.0,2,2023-04-03,,,False,not_freezed,21101072NaT,
58,,2110,107,980842118,IS0028165M,107B-800VU-COA-40,KD,1,06/04/2023,13/04/2023,X,14/04/2023,15.0,None,A210702055,,20.71,4.0,prod,0.0,2,2023-04-14,,,False,not_freezed,21101072NaT,
