,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,smoothing_end_date,version,shared,product_id,planning_approval_id
35,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3808656,IS0023355M,105A-93VU,YP04,1,2021-09-01,2021-09-17,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510776,2021-09-16,2.0,2.0,2,2.0,1,2021-09-17,,,True,,9,False,25,178
36,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3808654,IS0023355M,105A-93VU,YP04,1,2021-09-01,2021-09-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510729,2021-09-16,2.0,2.0,2,2.0,1,2021-09-20,,,True,,9,False,25,178
37,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3806323,IS0023355M,105A-93VU,YP04,1,2021-08-25,2021-09-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510762,2021-09-15,2.0,2.0,2,2.0,1,2021-09-20,,,True,,9,False,25,178
38,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812811,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-09-27,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510920,2021-09-23,2.0,2.0,2,2.0,1,2021-09-27,,,True,,9,False,25,178
39,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812783,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-09-27,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510956,2021-09-23,2.0,2.0,2,2.0,1,2021-09-27,,,True,,9,False,25,178
40,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812809,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-09-27,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510874,2021-09-23,2.0,2.0,2,2.0,1,2021-09-27,,,True,,9,False,25,178
41,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812805,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-09-27,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510748,2021-09-23,2.0,2.0,2,2.0,1,2021-09-27,,,True,,9,False,25,178
42,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812806,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-09-27,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510782,2021-09-23,2.0,2.0,2,2.0,1,2021-09-27,,,True,,9,False,25,178
43,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812807,IS0023355M,105A-93VU,YP04,1,2021-09-01,2021-09-27,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510789,2021-09-22,2.0,2.0,2,2.0,1,2021-09-27,,,True,,9,False,25,178
44,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812810,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-09-27,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510913,2021-09-23,2.0,2.0,2,2.0,1,2021-09-27,,,True,,9,False,25,178
45,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3816070,IS0023355M,105A-93VU,YP04,1,2021-09-16,2021-10-04,None,,,TCLO ARTM IMPR CONF LIVR CCRP CAPC MMEf*,A310510791,2021-10-04,2.0,2.0,2,2.0,1,2021-10-04,,,True,,9,False,25,178
46,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3812808,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-10-05,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510814,2021-09-27,2.0,2.0,2,2.0,1,2021-10-05,,,True,,9,False,25,178
47,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3816068,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-10-05,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510761,2021-09-28,2.0,2.0,2,2.0,1,2021-10-05,,,True,,9,False,25,178
48,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3816069,IS0023355M,105A-93VU,YP04,1,2021-09-23,2021-10-05,None,,,TCLO ARTM IMPR CONF LIVR CCRP CAPC MMEf*,A310510785,2021-09-28,2.0,2.0,2,2.0,1,2021-10-05,,,True,,9,False,25,178
