,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
51,6103,2022-09-27 23:02:25.026000,2022-12-22 11:31:56.846492,Marwa,Marwa,False,,2022-09-27 23:02:25.026000,2022-12-22 11:31:56.846492,Marwa,9,105,2022-10-24,1,2.0,3573,officiel,16,,
52,6104,2022-09-27 23:02:25.042002,2022-12-22 11:31:56.849081,Marwa,Marwa,False,,2022-09-27 23:02:25.042002,2022-12-22 11:31:56.849081,Marwa,9,105,2022-10-25,1,2.0,3574,officiel,16,,
53,6105,2022-09-27 23:02:25.063939,2022-12-22 11:31:56.852172,Marwa,Marwa,False,,2022-09-27 23:02:25.063939,2022-12-22 11:31:56.852172,Marwa,9,105,2022-10-26,1,2.0,3575,officiel,16,,
54,6106,2022-09-27 23:02:25.080015,2022-12-22 11:31:56.855522,Marwa,Marwa,False,,2022-09-27 23:02:25.080015,2022-12-22 11:31:56.855522,Marwa,9,105,2022-10-27,1,2.0,3576,officiel,16,,
55,6107,2022-09-27 23:02:25.096017,2022-12-22 11:31:56.858180,Marwa,Marwa,False,,2022-09-27 23:02:25.096017,2022-12-22 11:31:56.858180,Marwa,9,105,2022-10-28,1,2.0,3577,officiel,16,,
56,6134,2022-09-27 23:10:40.037381,2022-09-27 23:10:40.037381,Marwa,Marwa,False,,2022-09-27 23:10:40.037381,2022-09-27 23:10:40.037381,Marwa,9,105,2022-12-05,1,11.2,3606,officiel,16,,
57,6135,2022-09-27 23:10:40.061392,2022-09-27 23:10:40.061392,Marwa,Marwa,False,,2022-09-27 23:10:40.061392,2022-09-27 23:10:40.061392,Marwa,9,105,2022-12-06,1,11.2,3607,officiel,16,,
58,6136,2022-09-27 23:10:40.085389,2022-09-27 23:10:40.085389,Marwa,Marwa,False,,2022-09-27 23:10:40.085389,2022-09-27 23:10:40.085389,Marwa,9,105,2022-12-07,1,11.2,3608,officiel,16,,
59,6137,2022-09-27 23:10:40.101315,2022-09-27 23:10:40.101315,Marwa,Marwa,False,,2022-09-27 23:10:40.101315,2022-09-27 23:10:40.101315,Marwa,9,105,2022-12-08,1,11.2,3609,officiel,16,,
60,6138,2022-09-27 23:10:40.118183,2022-09-27 23:10:40.118183,Marwa,Marwa,False,,2022-09-27 23:10:40.118183,2022-09-27 23:10:40.118183,Marwa,9,105,2022-12-09,1,11.2,3610,officiel,16,,
61,6108,2022-09-27 23:05:27.377733,2022-12-22 11:31:56.878809,Marwa,Marwa,False,,2022-09-27 23:05:27.377733,2022-12-22 11:31:56.878809,Marwa,9,105,2022-11-01,1,2.0,3580,officiel,16,,
62,6109,2022-09-27 23:05:27.393743,2022-12-22 11:31:56.881556,Marwa,Marwa,False,,2022-09-27 23:05:27.393743,2022-12-22 11:31:56.881556,Marwa,9,105,2022-11-02,1,2.0,3581,officiel,16,,
63,6110,2022-09-27 23:05:27.417738,2022-12-22 11:31:56.884123,Marwa,Marwa,False,,2022-09-27 23:05:27.417738,2022-12-22 11:31:56.884123,Marwa,9,105,2022-11-03,1,2.0,3582,officiel,16,,
64,6111,2022-09-27 23:05:27.433744,2022-12-22 11:31:56.886038,Marwa,Marwa,False,,2022-09-27 23:05:27.433744,2022-12-22 11:31:56.886038,Marwa,9,105,2022-11-04,1,2.0,3583,officiel,16,,
65,6139,2022-09-27 23:11:16.462860,2022-09-27 23:11:16.462860,Marwa,Marwa,False,,2022-09-27 23:11:16.462860,2022-09-27 23:11:16.462860,Marwa,9,105,2022-12-12,1,11.2,3611,officiel,16,,
66,6140,2022-09-27 23:11:16.486924,2022-09-27 23:11:16.486924,Marwa,Marwa,False,,2022-09-27 23:11:16.486924,2022-09-27 23:11:16.486924,Marwa,9,105,2022-12-13,1,11.2,3612,officiel,16,,
